timeunit,cluster0,cluster1,cluster2
0,19.36,19.76,23.43
1,19.36,19.8,27.17
2,20.49,19.84,27.1
3,19.38,19.73,35.17
4,19.52,19.62,28.62
5,19.35,19.62,50.65
6,18.41,19.53,21.38
7,18.04,19.67,18.04
8,18.52,19.93,23.45
9,18.53,20.06,18.74
10,18.68,19.88,19.81
11,18.6,19.61,19.36
12,18.5,19.47,19.46
13,18.62,19.35,21.83
14,18.66,19.28,20.21
15,18.6,19.37,24.02
16,18.65,19.42,19.75
17,18.87,19.52,20.08
18,18.79,19.37,19.47
19,18.81,19.33,19.42
20,19.27,19.84,22.25
21,19.5,19.95,21.92
22,19.54,19.94,25.92
23,19.35,19.79,31.45
